timestamp,anomaly_alerts,CENTOS@ALG,CENTOS@HIST,UNIX_NETWORK@ALG,UNIX_NETWORK@HIST,JVM@ALG,JVM@HIST,remote_call_checker,details
0.0,0,0,0,0,0,0,0,0,
1.0,8,2,0,4,0,2,0,0,SPSDetector@Tcp_Syn|SPSDetector@TotalLoadedClassCount|SPSDetector@CPU User Processes|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|SPSDetector@LoadedClassCount|SPSDetector@Activated Virtual Pages|
2.0,8,2,1,3,0,2,0,0,SPSDetector@CPU Idle Processes|SPSDetector@TotalLoadedClassCount|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@LoadedClassCount|SPSDetector@Activated Virtual Pages|
3.0,6,1,0,4,0,1,0,0,SPSDetector@CPU Idle Processes|SPSDetector@Tcp_Syn|SPSDetector@Tcp_Listen|SPSDetector@SystemCpuLoad|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|
4.0,5,2,0,3,0,0,0,0,SPSDetector@CPU Idle Processes|SPSDetector@Tcp_Syn|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|
5.0,9,2,1,3,0,0,2,1,SPSDetector@CPU Idle Processes|SPSDetector@Tcp_Syn|RemoteCallChecker|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@CPU Interrupts|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Activated Virtual Pages|HistoricalIndicatorChecker@ProcessCpuLoad|
6.0,7,1,1,1,0,0,4,0,HistoricalIndicatorChecker@SystemCpuLoad|SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@CPU Interrupts|HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@ProcessCpuLoad|SPSDetector@Activated Virtual Pages|HistoricalIndicatorChecker@ProcessCpuLoad|
7.0,5,3,0,2,0,0,0,0,SPSDetector@CPU Idle Processes|SPSDetector@Tcp_Syn|SPSDetector@CPU User Processes|SPSDetector@Tcp_Listen|SPSDetector@Activated Virtual Pages|
8.0,5,1,0,4,0,0,0,0,SPSDetector@Tcp_Syn|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|SPSDetector@Activated Virtual Pages|
9.0,1,1,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|
10.0,1,0,1,0,0,0,0,0,HistoricalIndicatorChecker@CPU Interrupts|
11.0,0,0,0,0,0,0,0,0,
12.0,1,1,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|
13.0,0,0,0,0,0,0,0,0,
14.0,11,1,1,4,0,5,0,0,SPSDetector@Tcp_Syn|SPSDetector@TotalLoadedClassCount|SPSDetector@Tcp_Listen|SPSDetector@SystemCpuLoad|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|SPSDetector@TotalLoadedClassCount|HistoricalIndicatorChecker@CPU Interrupts|SPSDetector@Free Memory|SPSDetector@LoadedClassCount|SPSDetector@LoadedClassCount|
15.0,9,2,0,4,0,3,0,0,SPSDetector@CPU Idle Processes|SPSDetector@Tcp_Syn|SPSDetector@TotalLoadedClassCount|SPSDetector@CPU User Processes|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|SPSDetector@LoadedClassCount|SPSDetector@NonHeapMemoryUsage.used|
16.0,2,0,0,2,0,0,0,0,SPSDetector@Tcp_Listen|SPSDetector@Tcp_Syn|
