timestamp,anomaly_alerts,CENTOS@SPS,UNIX_NETWORK@SPS,COMPOSITION@SPS,details
32.0,5,2,1,2,SPSDetector@(Tcp_Listen#PLAIN#UNIX_NETWORK)/(Major Page Faults#PLAIN#CENTOS)|SPSDetector@(Tcp_Listen#DIFFERENCE#UNIX_NETWORK)/(Major Page Faults#DIFFERENCE#CENTOS)|SPSDetector@Tcp_Listen|SPSDetector@PageIn|SPSDetector@PageIn|
33.0,3,2,0,1,SPSDetector@PageIn|SPSDetector@CPU User Processes|SPSDetector@(CPU User Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|
34.0,3,2,0,1,SPSDetector@Buffers|SPSDetector@CPU User Processes|SPSDetector@(CPU User Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|
35.0,2,1,0,1,SPSDetector@CPU User Processes|SPSDetector@(CPU User Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|
36.0,2,1,0,1,SPSDetector@CPU User Processes|SPSDetector@(CPU User Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|
37.0,2,1,0,1,SPSDetector@CPU User Processes|SPSDetector@(CPU User Processes#PLAIN#CENTOS)/(CPU Interrupts#PLAIN#CENTOS)|
38.0,1,1,0,0,SPSDetector@Buffers|
39.0,0,0,0,0,
40.0,0,0,0,0,
41.0,0,0,0,0,
42.0,0,0,0,0,
43.0,0,0,0,0,
44.0,0,0,0,0,
45.0,0,0,0,0,
46.0,0,0,0,0,
47.0,0,0,0,0,
48.0,0,0,0,0,
49.0,0,0,0,0,
50.0,0,0,0,0,
51.0,0,0,0,0,
52.0,0,0,0,0,
53.0,0,0,0,0,
54.0,0,0,0,0,
55.0,0,0,0,0,
56.0,0,0,0,0,
57.0,0,0,0,0,
58.0,0,0,0,0,
59.0,0,0,0,0,
60.0,0,0,0,0,
61.0,0,0,0,0,
62.0,0,0,0,0,
63.0,0,0,0,0,
64.0,0,0,0,0,
65.0,0,0,0,0,
66.0,0,0,0,0,
67.0,1,1,0,0,SPSDetector@Buffers|
68.0,0,0,0,0,
69.0,0,0,0,0,
