timestamp,anomaly_alerts,CENTOS@ALG,CENTOS@HIST,UNIX_NETWORK@ALG,UNIX_NETWORK@HIST,JVM@ALG,JVM@HIST,remote_call_checker,details
0.0,0,0,0,0,0,0,0,0,
1.0,0,0,0,0,0,0,0,0,
2.0,0,0,0,0,0,0,0,0,
3.0,2,0,0,1,0,0,0,1,RemoteCallChecker|SPSDetector@Tcp_Listen|
4.0,2,0,0,1,0,0,1,0,SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@SystemCpuLoad|
5.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
6.0,0,0,0,0,0,0,0,0,
7.0,0,0,0,0,0,0,0,0,
8.0,0,0,0,0,0,0,0,0,
9.0,0,0,0,0,0,0,0,0,
10.0,0,0,0,0,0,0,0,0,
11.0,0,0,0,0,0,0,0,0,
12.0,0,0,0,0,0,0,0,0,
13.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
14.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
15.0,0,0,0,0,0,0,0,0,
16.0,0,0,0,0,0,0,0,0,
17.0,1,0,0,1,0,0,0,0,SPSDetector@Tcp_Listen|
18.0,0,0,0,0,0,0,0,0,
19.0,0,0,0,0,0,0,0,0,
20.0,0,0,0,0,0,0,0,0,
21.0,0,0,0,0,0,0,0,0,
22.0,0,0,0,0,0,0,0,0,
23.0,1,0,0,0,0,0,0,1,RemoteCallChecker|
24.0,0,0,0,0,0,0,0,0,
25.0,0,0,0,0,0,0,0,0,
26.0,1,1,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|
27.0,1,1,0,0,0,0,0,0,SPSDetector@Active Files|
28.0,1,0,0,0,0,0,0,1,RemoteCallChecker|
29.0,0,0,0,0,0,0,0,0,
30.0,3,1,0,0,0,0,2,0,HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@SystemCpuLoad|SPSDetector@Active Files|
31.0,1,0,0,0,0,0,0,1,RemoteCallChecker|
32.0,0,0,0,0,0,0,0,0,
33.0,5,3,0,1,0,0,1,0,HistoricalIndicatorChecker@SystemCpuLoad|SPSDetector@Tcp_Listen|SPSDetector@Active Files|SPSDetector@Activated Virtual Pages|SPSDetector@Buffers|
34.0,7,2,0,1,0,0,3,1,HistoricalIndicatorChecker@SystemCpuLoad|RemoteCallChecker|SPSDetector@Tcp_Listen|HistoricalIndicatorChecker@SystemCpuLoad|SPSDetector@Active Files|HistoricalIndicatorChecker@CommittedVirtualMemorySize|SPSDetector@Activated Virtual Pages|
35.0,0,0,0,0,0,0,0,0,
36.0,2,0,0,0,0,0,2,0,HistoricalIndicatorChecker@SystemCpuLoad|HistoricalIndicatorChecker@SystemCpuLoad|
37.0,1,0,0,0,0,0,1,0,HistoricalIndicatorChecker@SystemCpuLoad|
38.0,1,0,0,0,0,0,1,0,HistoricalIndicatorChecker@SystemCpuLoad|
39.0,4,2,0,0,0,0,1,1,HistoricalIndicatorChecker@SystemCpuLoad|RemoteCallChecker|SPSDetector@Activated Virtual Pages|SPSDetector@Buffers|
40.0,3,0,0,0,0,0,2,1,HistoricalIndicatorChecker@SystemCpuLoad|RemoteCallChecker|HistoricalIndicatorChecker@SystemCpuLoad|
41.0,1,0,0,0,0,0,0,1,RemoteCallChecker|
42.0,0,0,0,0,0,0,0,0,
43.0,0,0,0,0,0,0,0,0,
44.0,1,0,0,0,0,0,0,1,RemoteCallChecker|
45.0,1,1,0,0,0,0,0,0,SPSDetector@Active Files|
46.0,2,2,0,0,0,0,0,0,SPSDetector@Active Files|SPSDetector@Activated Virtual Pages|
47.0,2,2,0,0,0,0,0,0,SPSDetector@Active Files|SPSDetector@Activated Virtual Pages|
48.0,2,2,0,0,0,0,0,0,SPSDetector@Active Files|SPSDetector@Activated Virtual Pages|
49.0,2,2,0,0,0,0,0,0,SPSDetector@Active Files|SPSDetector@Activated Virtual Pages|
50.0,2,2,0,0,0,0,0,0,SPSDetector@Active Files|SPSDetector@Activated Virtual Pages|
51.0,0,0,0,0,0,0,0,0,
52.0,2,2,0,0,0,0,0,0,SPSDetector@Active Files|SPSDetector@Activated Virtual Pages|
53.0,0,0,0,0,0,0,0,0,
54.0,0,0,0,0,0,0,0,0,
55.0,0,0,0,0,0,0,0,0,
56.0,0,0,0,0,0,0,0,0,
57.0,0,0,0,0,0,0,0,0,
58.0,0,0,0,0,0,0,0,0,
59.0,0,0,0,0,0,0,0,0,
60.0,0,0,0,0,0,0,0,0,
61.0,0,0,0,0,0,0,0,0,
62.0,0,0,0,0,0,0,0,0,
63.0,0,0,0,0,0,0,0,0,
64.0,0,0,0,0,0,0,0,0,
65.0,0,0,0,0,0,0,0,0,
66.0,0,0,0,0,0,0,0,0,
67.0,3,3,0,0,0,0,0,0,SPSDetector@Active Files|SPSDetector@Activated Virtual Pages|SPSDetector@Buffers|
68.0,1,1,0,0,0,0,0,0,SPSDetector@Active Files|
69.0,1,0,0,0,0,0,0,1,RemoteCallChecker|
70.0,0,0,0,0,0,0,0,0,
71.0,1,1,0,0,0,0,0,0,SPSDetector@Activated Virtual Pages|
